icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,GJT,,,39.12,-108.53,-999,,GJT
,,,N49W87,,,49.00,-87.00,-999,,N49W87
,,,N43W93,,,43.00,-93.00,-999,,N43W93
,,,N37W101,,,37.00,-101.00,-999,,N37W101
,,,N38W96,,,38.00,-96.00,-999,,N38W96
,,,N30W97,,,30.00,-97.00,-999,,N30W97
,,,N39W94,,,39.00,-94.00,-999,,N39W94
,,,N33W97,,,33.00,-97.00,-999,,N33W97
,,,N36W77,,,36.00,-77.00,-999,,N36W77
,,,N49W105,,,49.00,-105.00,-999,,N49W105
,,,N41W92,,,41.00,-92.00,-999,,N41W92
,,,N37W85,,,37.00,-85.00,-999,,N37W85
,,,N33W104,,,33.00,-104.00,-999,,N33W104
,,,N34W84,,,34.00,-84.00,-999,,N34W84
,,,N47W79,,,47.00,-79.00,-999,,N47W79
,,,N42W85,,,42.00,-85.00,-999,,N42W85
,,,N34W78,,,34.00,-78.00,-999,,N34W78
,,,N39W88,,,39.00,-88.00,-999,,N39W88
,,,N48W95,,,48.00,-95.00,-999,,N48W95
,,,N49W82,,,49.00,-82.00,-999,,N49W82
,,,N41W89,,,41.00,-89.00,-999,,N41W89
,,,N39W82,,,39.00,-82.00,-999,,N39W82
,,,N43W95,,,43.00,-95.00,-999,,N43W95
,,,N41W74,,,41.00,-74.00,-999,,N41W74
,,,N42W92,,,42.00,-92.00,-999,,N42W92
,,,N32W103,,,32.00,-103.00,-999,,N32W103
,,,N48W76,,,48.00,-76.00,-999,,N48W76
,,,N49W94,,,49.00,-94.00,-999,,N49W94
,,,N31W90,,,31.00,-90.00,-999,,N31W90
,,,N43W100,,,43.00,-100.00,-999,,N43W100
,,,N42W71,,,42.00,-71.00,-999,,N42W71
,,,N34W102,,,34.00,-102.00,-999,,N34W102
,,,N31W80,,,31.00,-80.00,-999,,N31W80
,,,N47W104,,,47.00,-104.00,-999,,N47W104
,,,N45W88,,,45.00,-88.00,-999,,N45W88
,,,N40W82,,,40.00,-82.00,-999,,N40W82
,,,N48W78,,,48.00,-78.00,-999,,N48W78
,,,N41W96,,,41.00,-96.00,-999,,N41W96
,,,FFC,,,33.35,-84.56,-999,,FFC
,,,N39W93,,,39.00,-93.00,-999,,N39W93
,,,BUF,,,42.93,-78.73,-999,,BUF
,,,N30W71,,,30.00,-71.00,-999,,N30W71
,,,N35W105,,,35.00,-105.00,-999,,N35W105
,,,N47W106,,,47.00,-106.00,-999,,N47W106
,,,SIL,,,30.33,-89.82,-999,,SIL
,,,N49W72,,,49.00,-72.00,-999,,N49W72
,,,SHV,,,32.45,-93.83,-999,,SHV
,,,N39W76,,,39.00,-76.00,-999,,N39W76
,,,N49W88,,,49.00,-88.00,-999,,N49W88
,,,N32W77,,,32.00,-77.00,-999,,N32W77
,,,N35W98,,,35.00,-98.00,-999,,N35W98
,,,N44W97,,,44.00,-97.00,-999,,N44W97
,,,N42W81,,,42.00,-81.00,-999,,N42W81
,,,N46W73,,,46.00,-73.00,-999,,N46W73
,,,N30W92,,,30.00,-92.00,-999,,N30W92
,,,N48W94,,,48.00,-94.00,-999,,N48W94
,,,N35W89,,,35.00,-89.00,-999,,N35W89
,,,N31W87,,,31.00,-87.00,-999,,N31W87
,,,N32W85,,,32.00,-85.00,-999,,N32W85
,,,N40W76,,,40.00,-76.00,-999,,N40W76
,,,OTX,,,47.68,-117.63,-999,,OTX
,,,N38W95,,,38.00,-95.00,-999,,N38W95
,,,N44W83,,,44.00,-83.00,-999,,N44W83
,,,N37W82,,,37.00,-82.00,-999,,N37W82
,,,N49W91,,,49.00,-91.00,-999,,N49W91
,,,N47W72,,,47.00,-72.00,-999,,N47W72
,,,GYX,,,43.89,-70.25,-999,,GYX
,,,N47W94,,,47.00,-94.00,-999,,N47W94
,,,N39W80,,,39.00,-80.00,-999,,N39W80
,,,N30W89,,,30.00,-89.00,-999,,N30W89
,,,N39W103,,,39.00,-103.00,-999,,N39W103
,,,N41W82,,,41.00,-82.00,-999,,N41W82
,,,N39W79,,,39.00,-79.00,-999,,N39W79
,,,N41W83,,,41.00,-83.00,-999,,N41W83
,,,N47W102,,,47.00,-102.00,-999,,N47W102
,,,N46W100,,,46.00,-100.00,-999,,N46W100
,,,N38W104,,,38.00,-104.00,-999,,N38W104
,,,N30W98,,,30.00,-98.00,-999,,N30W98
,,,N31W78,,,31.00,-78.00,-999,,N31W78
,,,N47W77,,,47.00,-77.00,-999,,N47W77
,,,N36W81,,,36.00,-81.00,-999,,N36W81
,,,N47W95,,,47.00,-95.00,-999,,N47W95
,,,N41W94,,,41.00,-94.00,-999,,N41W94
,,,N41W91,,,41.00,-91.00,-999,,N41W91
,,,REE,,,33.61,-102.05,-999,,REE
,,,N41W84,,,41.00,-84.00,-999,,N41W84
,,,N40W102,,,40.00,-102.00,-999,,N40W102
,,,N49W104,,,49.00,-104.00,-999,,N49W104
,,,N40W80,,,40.00,-80.00,-999,,N40W80
,,,N35W92,,,35.00,-92.00,-999,,N35W92
,,,N41W81,,,41.00,-81.00,-999,,N41W81
,,,N34W94,,,34.00,-94.00,-999,,N34W94
,,,N36W71,,,36.00,-71.00,-999,,N36W71
,,,N36W101,,,36.00,-101.00,-999,,N36W101
,,,N41W95,,,41.00,-95.00,-999,,N41W95
,,,N39W91,,,39.00,-91.00,-999,,N39W91
,,,N39W84,,,39.00,-84.00,-999,,N39W84
,,,CHH,,,41.67,-69.97,-999,,CHH
,,,N33W89,,,33.00,-89.00,-999,,N33W89
,,,N37W86,,,37.00,-86.00,-999,,N37W86
,,,N36W98,,,36.00,-98.00,-999,,N36W98
,,,N42W77,,,42.00,-77.00,-999,,N42W77
,,,N38W92,,,38.00,-92.00,-999,,N38W92
,,,N33W95,,,33.00,-95.00,-999,,N33W95
,,,N39W96,,,39.00,-96.00,-999,,N39W96
,,,N36W96,,,36.00,-96.00,-999,,N36W96
,,,N33W87,,,33.00,-87.00,-999,,N33W87
,,,N30W95,,,30.00,-95.00,-999,,N30W95
,,,N42W104,,,42.00,-104.00,-999,,N42W104
,,,N31W86,,,31.00,-86.00,-999,,N31W86
,,,N36W73,,,36.00,-73.00,-999,,N36W73
,,,N35W95,,,35.00,-95.00,-999,,N35W95
,,,N36W83,,,36.00,-83.00,-999,,N36W83
,,,N46W71,,,46.00,-71.00,-999,,N46W71
,,,N38W73,,,38.00,-73.00,-999,,N38W73
,,,N45W99,,,45.00,-99.00,-999,,N45W99
,,,N38W78,,,38.00,-78.00,-999,,N38W78
,,,JAX,,,30.43,-81.70,-999,,JAX
,,,N37W87,,,37.00,-87.00,-999,,N37W87
,,,N31W73,,,31.00,-73.00,-999,,N31W73
,,,N36W104,,,36.00,-104.00,-999,,N36W104
,,,N30W87,,,30.00,-87.00,-999,,N30W87
,,,N42W74,,,42.00,-74.00,-999,,N42W74
,,,N39W75,,,39.00,-75.00,-999,,N39W75
,,,N45W73,,,45.00,-73.00,-999,,N45W73
,,,N34W104,,,34.00,-104.00,-999,,N34W104
,,,N45W71,,,45.00,-71.00,-999,,N45W71
,,,N48W77,,,48.00,-77.00,-999,,N48W77
,,,FWD,,,32.80,-97.30,-999,,FWD
,,,N32W100,,,32.00,-100.00,-999,,N32W100
,,,N48W97,,,48.00,-97.00,-999,,N48W97
,,,N42W83,,,42.00,-83.00,-999,,N42W83
,,,N33W91,,,33.00,-91.00,-999,,N33W91
,,,MFR,,,42.37,-122.87,-999,,MFR
,,,N42W90,,,42.00,-90.00,-999,,N42W90
,,,N49W79,,,49.00,-79.00,-999,,N49W79
,,,N48W85,,,48.00,-85.00,-999,,N48W85
,,,N45W78,,,45.00,-78.00,-999,,N45W78
,,,N43W90,,,43.00,-90.00,-999,,N43W90
,,,N39W73,,,39.00,-73.00,-999,,N39W73
,,,N38W79,,,38.00,-79.00,-999,,N38W79
,,,ABQ,,,35.05,-106.62,-999,,ABQ
,,,N36W100,,,36.00,-100.00,-999,,N36W100
,,,N31W85,,,31.00,-85.00,-999,,N31W85
,,,N31W100,,,31.00,-100.00,-999,,N31W100
,,,N44W79,,,44.00,-79.00,-999,,N44W79
,,,N45W101,,,45.00,-101.00,-999,,N45W101
,,,N44W72,,,44.00,-72.00,-999,,N44W72
,,,N35W97,,,35.00,-97.00,-999,,N35W97
,,,N36W87,,,36.00,-87.00,-999,,N36W87
,,,N49W93,,,49.00,-93.00,-999,,N49W93
,,,N38W94,,,38.00,-94.00,-999,,N38W94
,,,N43W78,,,43.00,-78.00,-999,,N43W78
,,,N42W89,,,42.00,-89.00,-999,,N42W89
,,,GRB,,,44.48,-88.13,-999,,GRB
,,,N33W73,,,33.00,-73.00,-999,,N33W73
,,,N31W96,,,31.00,-96.00,-999,,N31W96
,,,N34W75,,,34.00,-75.00,-999,,N34W75
,,,N48W104,,,48.00,-104.00,-999,,N48W104
,,,INL,,,48.57,-93.38,-999,,INL
,,,N39W106,,,39.00,-106.00,-999,,N39W106
,,,N36W88,,,36.00,-88.00,-999,,N36W88
,,,N34W81,,,34.00,-81.00,-999,,N34W81
,,,N31W79,,,31.00,-79.00,-999,,N31W79
,,,N49W89,,,49.00,-89.00,-999,,N49W89
,,,N43W73,,,43.00,-73.00,-999,,N43W73
,,,N43W94,,,43.00,-94.00,-999,,N43W94
,,,N42W78,,,42.00,-78.00,-999,,N42W78
,,,N35W100,,,35.00,-100.00,-999,,N35W100
,,,N32W73,,,32.00,-73.00,-999,,N32W73
,,,SGF,,,37.23,-93.40,-999,,SGF
,,,N43W99,,,43.00,-99.00,-999,,N43W99
,,,REV,,,39.57,-119.80,-999,,REV
,,,N49W98,,,49.00,-98.00,-999,,N49W98
,,,N45W91,,,45.00,-91.00,-999,,N45W91
,,,N46W101,,,46.00,-101.00,-999,,N46W101
