state,name,icao,lat,lon,elev
BC,PORT HARDY AIRPO,CYZT,50.6666666666667,-127.366666666667,22
BC,PRINCE GEORGE,CYXS,53.9,-122.783333333333,691
MB,CHURCHILL AIRPOR,CYYQ,58.75,-94.0666666666667,29
MB,THE PAS,CYQD,53.9666666666667,-101.083333333333,271
NL,GOOSE BAY AIRPOR,CYYR,53.3166666666667,-60.4166666666667,49
NL,SAINT JOHN'S ARP,CYYT,47.6166666666667,-52.7166666666667,140
NL,STEPHENVILLE ARP,CYJT,48.55,-58.5666666666667,26
NS,SABLE ISLAND,CWSA,43.9166666666667,-60.0166666666667,4
NS,YARMOUTH,CYQI,43.8333333333333,-66.0833333333333,43
NT,FORT SMITH AIRPO,CYSM,60.0333333333333,-111.916666666667,203
NT,INUVIK,CYEV,68.3166666666667,-133.5,68
NT,NORMAN WELLS ARP,CYVQ,65.2666666666667,-126.783333333333,74
NU,ALERT,CWLT,82.5,-62.3166666666667,63
NU,BAKER LAKE AIRPO,CYBK,64.2833333333333,-96.0666666666667,18
NU,CAMBRIDGE BAY AR,CYCB,69.0833333333333,-105.116666666667,27
NU,CORAL HARBOUR AR,CYZS,64.2,-83.3666666666667,64
NU,EUREKA,CWEU,80,-85.9166666666667,10
NU,FROBISHER/IQALUI,CYFB,63.75,-68.5166666666667,34
NU,HALL BEACH AIRPO,CYUX,68.7666666666667,-81.25,8
NU,RESOLUTE,CYRB,74.7166666666667,-94.9666666666667,67
ON,MOOSONEE,CYMO,51.2833333333333,-80.6166666666667,10
ON,PICKLE LAKE,CYPL,51.4666666666667,-90.2,373
QC,INUKJUAK,CYPH,58.45,-78.1166666666667,3
QC,KUUJJUAQ,CYVP,58.1166666666667,-68.4166666666667,60
QC,LA GRANDE IV ARP,CYAH,53.75,-73.6666666666667,306
QC,MANIWAKI,CWMW,46.3666666666667,-75.9666666666667,170
QC,SEPT ILES AIRPOR,CYZV,50.2166666666667,-66.2666666666667,55
SK,SASKATOON AIRPOR,CYXE,52.1666666666667,-106.666666666667,504
YT,WHITEHORSE AIRPO,CYXY,60.7166666666667,-135.066666666667,703
MX,CANCUN,MMUN,21.0166666666667,-86.8666666666667,5
MX,CHIHUAHUA INTL A,MMCU,28.6833333333333,-105.966666666667,1360
MX,GUADALAJARA,MMGL,20.5166666666667,-103.316666666667,1528
MX,GUAYMAS INTL ARP,MMGM,27.95,-110.916666666667,20
MX,ISLA GUADALUPE,MMGD,29.1666666666667,-118.316666666667,25
MX,ISLA SOCORRO,MMSC,18.7166666666667,-110.95,35
MX,LA PAZ INTL AIRP,MMLP,24.0666666666667,-110.366666666667,21
MX,MANZANILLO INTL,MMZO,19.1333333333333,-104.566666666667,8
MX,MAZATLAN/G. BUEL,MMMZ,23.1666666666667,-106.266666666667,10
MX,MERIDA INTL ARPT,MMMD,20.9666666666667,-89.65,10
MX,MEXICO CITY/LICE,MMMX,19.4166666666667,-99.0833333333333,2238
MX,MONTERREY INTL A,MMAN,25.8666666666667,-100.216666666667,448
MX,TORREON,MMTC,25.5166666666667,-103.45,1124
MX,VERACRUZ,MMVR,19.15,-96.1833333333333,28
MX,ZACATECAS ARPT,MMZC,22.9,-102.683333333333,2177
GU,TAGUAC,PGAC,13.55,144.816666666667,111
MH,MAJURO WSO AIRPO,PKMJ,7.08333333333333,171.266666666667,3
PR,SAN JUAN,TJSJ,18.4333333333333,-66.0166666666667,21
