CH,MUDANJIANG,54094, 44.56700, 129.60000,  242
CH,TONGLIAO,54135, 43.60000, 122.26700,  180
CH,CHANGCHUN,ZYCC , 43.90000, 125.21600,  237
CH,YANJI,54292, 42.88300, 129.46600,  177
CH,JINZHOU,54337, 41.11700, 121.06700,   30
CH,SHENYANG,ZYYY , 41.73300, 123.45000,   43
KO,LINJIANG,54374, 41.71700, 126.91700,  333
CH,DANDONG,54497, 40.08300, 124.33300,   13
CH,DALIAN,ZYTL , 38.90000, 121.63300,   92
CH,CHENGSHANTOU,54776, 37.40000, 122.68300,   47
CH,QINGDAO,ZSQD , 36.06600, 120.33300,   76
CH,SHEYANG,58150, 33.76700, 120.25000,    7
CH,SHANGHAI,ZSSS , 31.16600, 121.43300,    3
CH,HANGCHOU,ZSHC , 30.23300, 120.16600,   42
CH,DACHEN ISLAND,58666, 28.45000, 121.90000,   86
SENEGAL,DAKAR,GOOY , 14.73300, -17.50000,   24
US,WIDE AWAKE FIELD,FHAW , -7.96667, -14.40000,   79
DG,DIEGO GARCIA IS.,DJDG , -7.30000, 72.40000,    3
AK,BARROW,PABR , 71.28833,-156.80250,   12
AK,BARTER ISLAND,PABA , 70.13300,-143.63000,   15
AK,KOTZEBUE,PAOT , 66.86667,-162.63333,    5
AK,NOME,PAOM , 64.51528,-165.44028,    5
AK,BETHEL,PABE , 60.78333,-161.84417,   36
AK,MCGRATH,PAMC , 62.96667,-155.61667,  103
AK,FAIRBANKS,PAFA , 64.81528,-147.87722,  135
AK,ANCHORAGE,PAFC , 61.15694,-149.98639,   50
AK,ST. PAUL ISLAND,PASN , 57.11667,-170.21667,   10
AK,COLD BAY,PACB , 55.20806,-162.72333,   30
AK,KING SALMON,PAKN , 58.67944,-156.66833,   15
AK,KODIAK,PADQ , 57.75000,-152.48333,    4
AK,YAKUTAT,PAYA , 59.50801,-139.67194,   12
AK,ANNETTE IS,PANT , 55.03944,-131.57806,   37
AK,SHEMYA AFB,PASY , 52.73000, 174.10000,   39
AK,ADAK/DAVIS AFB,70454, 51.88300,-176.65000,    8
NW,NORMAN WELLS,CYVQ , 65.28000,-126.80000,   60
NW,SACHS HARBOUR,CWSY , 71.98300,-125.28000,   84
NW,HALL BEACH,CYUX , 68.78000, -81.25000,    7
NW,ALERT,CYLT , 82.50000, -62.33000,   66
BC,PORT HARDY,CYZT , 50.69000,-127.37000,   17
AB,EDMONTON/STONY PLAIN,CWEG , 53.55000,-114.10000,  766
AB,COLD LAKE,CYOD , 54.43000,-110.28000,  541
AB,EDMONTON/NAMAO,CYED , 53.68000,-113.47000,  688
AB,EDMONTON AIRPORT,CYEG , 53.33000,-113.58000,  723
BC,KELOWNA,CYLW , 49.97000,-119.38000,  429
NS,HALIFAX METOC,CYHZ , 44.91000, -63.51000,    0
NS,SHELBURNE,CWOS , 43.73000, -65.25000,   30
NS,SABLE ISLAND,CWSA , 43.94000, -60.02000,    4
NS,YARMOUTH,CYQI , 43.84000, -66.08000,   43
ON,TORONTO INT'L,CYYZ , 43.69000, -79.63000,  173
QB,MONTREAL/DORVAL,CYUL , 45.48000, -73.75000,   36
NB,CAMP GAGETOWN,CYCX , 45.84000, -66.43000,   51
QB,MANIWAKI,CWMW , 46.39000, -75.97000,  170
BC,VICTORIA,CYYJ , 48.66000,-123.43000,   19
NF,ST. JOHNS/TORBAY,CYYT , 47.68000, -52.75000,  140
NF,PLACENTIA,CWAR , 47.30000, -54.00000,   16
QB,SEPT-ILES,CYZV , 50.23000, -66.27000,   53
NF,STEPHENVILLE,CYJT , 48.54000, -58.55000,   61
NF,GOOSE BAY,CYYR , 53.30000, -60.37000,   36
QB,LA GRANDE 4,CYAH , 53.76000, -73.67000,  307
ON,MOOSONEE,CWZC , 51.28000, -80.65000,   10
ON,PICKLE LAKE,CWPL , 51.48000, -90.20000,  373
