%TITLE%
 CVS 030620/2000

 LEVEL     HGHT     TEMP     DWPT     WDIR     WSPD
 __________________________________________________
 %RAW%
 859.90,1400.50,23.84,15.47,186.50,15.45
 858.10,1418.80,23.04,15.27,186.19,16.22
 854.50,1455.50,22.24,15.04,184.50,17.34
 849.10,1510.60,21.74,14.83,184.40,17.73
 841.90,1584.70,21.24,14.70,183.65,18.30
 831.10,1696.60,20.34,14.35,185.02,17.75
 820.30,1809.60,19.44,13.95,188.40,17.28
 809.50,1923.70,18.34,13.52,188.84,17.69
 798.80,2037.90,17.24,13.10,187.79,18.63
 788.00,2154.20,16.14,12.66,187.41,19.59
 777.20,2271.70,15.04,12.22,187.33,19.78
 766.40,2390.30,13.94,11.78,187.48,19.40
 755.60,2510.10,12.84,11.33,187.05,18.99
 744.80,2631.20,11.74,10.66,185.30,18.92
 734.00,2753.60,11.04,8.37,187.63,19.01
 723.30,2876.40,10.44,7.71,192.72,18.52
 712.50,3001.80,9.74,7.12,196.11,18.20
 701.70,3128.80,9.04,6.77,201.45,17.53
 690.90,3257.50,8.94,4.96,208.16,15.64
 680.10,3388.10,8.74,3.00,210.96,14.72
 669.30,3520.60,8.04,1.21,212.83,14.33
 658.50,3654.70,7.04,0.14,211.09,15.42
 647.80,3789.30,6.04,-0.49,205.69,17.03
 637.00,3926.90,4.94,-1.01,201.35,18.15
 626.20,4066.30,3.84,-2.07,199.01,18.49
 615.40,4207.50,2.84,-3.62,205.26,19.12
 604.60,4350.70,1.74,-5.67,214.14,20.42
 593.80,4495.70,0.44,-8.18,222.41,21.31
 583.00,4642.60,-0.86,-11.96,231.27,23.91
 534.30,5332.40,-5.76,-24.94,233.79,26.96
 490.00,6004.00,-10.56,-32.95,233.21,26.92
 429.10,7010.00,-17.96,-38.25,233.35,30.26
 369.10,8116.60,-26.46,-42.74,227.66,32.59
 314.30,9256.30,-35.36,-48.47,232.04,34.74
 277.10,10121.60,-41.66,-56.02,238.75,39.31
 255.00,10680.60,-45.06,-63.32,241.18,46.34
 241.10,11053.60,-46.66,-71.63,243.23,48.30
 227.00,11451.30,-48.66,-72.05,239.50,53.20
 217.60,11728.80,-49.36,-72.32,236.01,61.15
 210.10,11958.40,-49.66,-72.55,234.56,67.00
 202.60,12196.00,-50.06,-72.79,234.63,69.80
 190.70,12589.50,-52.06,-73.18,234.90,70.28
 170.40,13310.30,-56.66,-73.92,235.54,68.32
 147.30,14222.20,-61.96,-74.87,225.14,56.18
 134.80,14768.70,-63.26,-75.44,218.74,45.32
 113.20,15833.20,-66.56,-76.58,227.87,41.12
 99.70,16601.80,-66.16,-77.41,233.60,23.89
 83.50,17677.70,-65.56,-78.57,214.26,16.22
 69.80,18773.80,-62.86,-79.74,180.00,8.16
 47.70,21113.90,-63.46,-82.08,225.00,8.52
 %END%


----- Note -----
Old Title:  MRF     030912/0000

