%TITLE%
 CVS 030620/2200

 LEVEL     HGHT     TEMP     DWPT     WDIR     WSPD
 __________________________________________________
 %RAW%
 858.80,1394.30,22.94,14.04,148.39,8.89
 857.00,1412.60,22.54,13.91,160.94,11.30
 853.40,1449.30,22.24,13.78,167.20,13.15
 848.10,1503.50,21.74,13.62,171.87,15.11
 840.90,1577.60,21.64,13.89,181.30,17.10
 830.10,1689.80,21.04,13.88,187.43,18.02
 819.40,1802.20,20.24,13.75,193.04,18.94
 808.60,1916.80,19.24,13.51,194.32,18.85
 797.90,2031.40,18.14,13.23,193.31,18.56
 787.10,2148.20,17.04,12.84,195.20,18.52
 776.40,2265.10,15.94,12.39,201.80,18.83
 765.60,2384.20,14.84,11.91,208.42,18.77
 754.90,2503.50,13.94,11.36,214.33,19.29
 744.10,2625.20,12.94,10.40,218.22,19.78
 733.40,2747.10,12.04,9.19,219.12,18.78
 722.60,2871.50,11.34,7.95,223.32,18.69
 711.80,2997.40,10.44,6.91,229.22,20.52
 701.10,3123.60,9.54,6.03,233.44,21.52
 690.30,3252.50,8.94,5.14,234.58,21.45
 679.60,3381.90,8.04,4.30,233.13,21.37
 668.80,3514.10,6.94,3.54,231.34,21.14
 658.10,3646.70,5.94,2.89,225.76,20.61
 647.30,3782.20,5.04,2.18,217.20,20.24
 636.60,3918.30,3.94,1.39,209.48,20.53
 625.80,4057.30,2.84,0.41,204.44,21.13
 615.10,4196.90,1.74,-0.98,204.11,22.35
 604.30,4339.50,0.54,-3.31,205.71,23.29
 593.60,4482.80,-0.36,-7.09,210.39,23.42
 572.80,4767.10,-2.36,-13.20,218.40,26.27
 542.20,5200.90,-4.76,-20.14,220.19,29.50
 512.50,5641.70,-7.26,-25.29,223.09,32.98
 464.30,6403.60,-12.26,-31.76,225.64,36.68
 414.00,7269.40,-18.26,-35.53,223.61,34.07
 363.40,8228.70,-25.36,-38.75,223.14,33.81
 310.80,9343.10,-34.06,-40.79,224.14,36.54
 271.50,10275.80,-40.96,-44.84,231.61,39.41
 247.10,10910.10,-45.16,-50.58,243.97,46.91
 231.50,11343.20,-47.36,-57.48,242.00,52.14
 218.70,11717.70,-49.06,-60.59,241.83,55.97
 208.00,12045.80,-50.36,-67.80,244.34,60.56
 198.80,12340.20,-51.26,-68.30,246.14,66.27
 192.00,12566.10,-51.66,-68.68,243.14,67.50
 181.80,12919.30,-52.56,-69.27,239.59,68.70
 163.10,13615.10,-55.76,-70.46,237.70,64.35
 142.90,14448.70,-59.76,-71.90,232.59,53.07
 116.30,15719.50,-64.96,-74.15,236.95,43.10
 100.70,16596.00,-65.56,-75.72,244.00,26.58
 84.30,17677.50,-65.06,-77.66,215.54,18.38
 69.60,18850.20,-63.06,-79.76,135.00,3.30
 48.20,21110.20,-62.96,-82.01,193.50,9.99
 %END%


----- Note -----
Old Title:  MRF     030912/0000

