MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
945.354632568,653.536010742,10.1372016907,-0.81134801209,-1.02725102305,-2.44407483339,-999.0
929.253039551,796.039685059,8.9006857872,-1.13097960949,-0.0112325519323,-1.876396662,-999.0
909.735528564,972.033880615,9.79565401077,-4.79653999805,2.62315682173,1.71986483857,-999.0
886.422625732,1187.9649292,10.7618426323,-8.35660972595,4.32098824978,-0.0146370619535,-999.0
858.946618652,1450.17402344,10.6001367569,-9.47470350266,7.50975823402,-5.67218942642,-999.0
827.354064941,1761.68408203,9.84813194275,-11.8354175568,11.049473381,-8.47823781967,-999.0
792.079779053,2122.26069336,8.18612165451,-14.6805707932,16.0868019104,-9.74896874428,-999.0
753.595184326,2531.34194336,5.72165803909,-18.2691598892,20.0190839767,-11.1445208549,-999.0
712.403747559,2988.71611328,3.00350792408,-21.2174118042,22.8990081787,-13.832058239,-999.0
669.02444458,3494.3501709,-0.278608614951,-22.7101234436,25.519127655,-16.0146589279,-999.0
624.001959229,4047.7286377,-4.17272565365,-23.7872476578,26.4269874573,-19.7342962265,-999.0
579.042584229,4632.48085938,-8.32011566162,-22.6089550018,28.3407979965,-23.9354057312,-999.0
536.158618164,5224.6765625,-12.4411955833,-22.4332050323,31.7758943558,-27.0360109329,-999.0
495.878948975,5815.99868164,-16.8435613632,-24.6006158829,32.5608350754,-31.5257694244,-999.0
458.086837769,6405.46157227,-21.6270755768,-30.525878334,31.5503160477,-38.5072860718,-999.0
422.657028198,6992.88642578,-26.2028356552,-41.369695282,28.1668478012,-48.2561042786,-999.0
389.457565308,7578.40478516,-31.1337469101,-39.7656799316,26.7097263336,-55.8500705719,-999.0
358.37590332,8161.53642578,-36.1944419861,-43.4063850403,25.7215087891,-59.6190479279,-999.0
329.29777832,8742.01425781,-41.4547603607,-46.3083866119,25.3798715591,-64.7817314148,-999.0
302.111154175,9319.88544922,-46.6622463226,-50.9530948639,26.35800457,-68.695816803,-999.0
276.723709106,9895.56591797,-51.552299881,-56.295891571,29.1159748077,-64.2571678162,-999.0
253.042434692,10471.0760742,-55.2705295563,-61.8288654327,35.1779594421,-58.503187561,-999.0
230.973226929,11050.4689453,-57.304404068,-66.801890564,39.235118103,-49.9662387848,-999.0
210.423707581,11637.012793,-59.0238414764,-69.5216949463,42.7046073914,-40.6069625854,-999.0
191.309263611,12234.3569336,-58.8602710724,-72.7767745972,53.3055271149,-32.8653318405,-999.0
173.551428223,12849.1316406,-56.4842250824,-76.0395462036,56.0574020386,-31.6648342133,-999.0
157.074951172,13482.2486328,-56.3616882324,-78.3886810303,57.5363037109,-30.2940322876,-999.0
141.805513,14129.6225586,-57.6411495209,-80.0821426392,56.1172008514,-25.3165761948,-999.0
127.673415375,14788.3987305,-60.1089435577,-80.4478607178,54.1367610931,-19.2788293839,-999.0
114.613389587,15458.678418,-62.029473877,-80.4478607178,50.841173172,-15.9389811516,-999.0
102.556018066,16144.1131836,-63.2080955505,-80.4478607178,46.9761039734,-10.6380532265,-999.0
91.4452056885,16848.4333984,-63.705562973,-80.4478607178,41.8899517059,-8.3597661972,-999.0
81.225528717,17576.1097656,-63.3831161499,-80.4478607178,33.1666320801,-13.9289962769,-999.0
71.8409118652,18333.1050781,-62.0027141571,-80.4478607178,25.2175737381,-14.9829078674,-999.0
63.2406597137,19126.9449219,-59.3314277649,-80.4478607178,19.7101346016,-10.6529332876,-999.0
54.5656139374,20063.1324219,-57.5347869873,-80.4478607178,13.7092683315,-1.94940678477,-999.0


MEM = MEAN
TIME = 160212/0200
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.134

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
977.174487305,384.133520508,10.9999189377,0.090802275762,-3.13417578936,-1.45347651839,-999.0
969.463995361,450.245202637,11.5583213806,-0.553262302279,-3.93785501719,-1.73573344648,-999.0
959.190594482,539.162457275,11.0252215385,-0.777450576425,-2.34322560504,-1.42031520903,-999.0
946.139404297,653.196691895,10.0797670364,-0.834406679869,-0.204607768916,-1.07414377443,-999.0
930.025933838,795.78258667,9.28880310059,-1.50645048618,1.91243423522,-0.10704703629,-999.0
910.495251465,972.070922852,10.4254183769,-5.31958670616,5.10894768238,2.58461658061,-999.0
887.163079834,1188.42545166,11.2972281456,-8.33420405388,7.30133328438,0.336790700257,-999.0
859.664312744,1451.00562744,10.8969947815,-9.58610982895,9.59247126579,-5.39283377528,-999.0
828.046569824,1762.69533691,9.90846691132,-11.9074475288,12.0013768196,-8.64101936817,-999.0
792.742791748,2123.16750488,7.97396197319,-14.5006718636,16.2599133492,-10.6011462688,-999.0
754.223254395,2532.02976074,5.60027709007,-17.9548995972,19.6872524261,-13.043529129,-999.0
712.992974854,2989.22543945,2.86171808243,-20.5471000671,22.5497104645,-15.2462638855,-999.0
669.573345947,3494.68439941,-0.396780189034,-21.7948022842,24.0433813095,-18.8579504013,-999.0
624.505926514,4047.94677734,-4.29447755814,-21.7146396637,25.3918697357,-22.3432958603,-999.0
579.497161865,4632.69692383,-8.40428466797,-20.2943975449,28.3529523849,-25.0128601074,-999.0
536.567883301,5224.90791016,-12.5412408829,-21.0908863068,30.246138382,-27.0073150635,-999.0
496.253311157,5816.07797852,-16.9032270432,-26.7109830856,30.2785469055,-31.7238441467,-999.0
458.438479614,6405.81879883,-21.1695762634,-37.4391540527,28.9297410965,-41.6834793091,-999.0
422.981759644,6994.16425781,-25.8112802505,-39.7431148529,27.8716205597,-51.1343852997,-999.0
389.752398682,7580.53994141,-30.8819505692,-38.4805591583,28.776783371,-55.1133853912,-999.0
358.642956543,8164.26435547,-36.0433006287,-40.6497291565,30.4458372116,-56.1963420868,-999.0
329.539382935,8745.30898438,-41.2341411591,-44.9224380493,31.9628866196,-57.3434185028,-999.0
302.330273438,9323.70175781,-46.5341468811,-50.2086708069,32.2344299316,-58.4069416046,-999.0
276.921817017,9899.54501953,-51.6100357056,-56.0172374725,33.2001543045,-58.3702991486,-999.0
253.220809937,10474.4889648,-55.6986782074,-61.8535083771,37.3008861542,-59.4628730774,-999.0
231.133558655,11052.0780273,-58.2815853119,-66.4521575928,38.886435318,-54.7542575836,-999.0
210.566178894,11636.2612305,-59.8452144623,-69.3305656433,40.2244953156,-42.3930854797,-999.0
191.434820557,12232.1040039,-59.1948348999,-72.7743888855,48.2689147949,-33.2919408798,-999.0
173.661146545,12845.0490234,-57.5077293396,-76.44298172,51.9796024323,-30.4755395889,-999.0
157.169973755,13476.1739258,-56.8041679382,-78.9199058533,52.5563713074,-29.9010677338,-999.0
141.886938477,14123.0869141,-57.6201648712,-80.4164665222,50.9883781433,-26.6040895462,-999.0
127.741799164,14782.6606445,-59.7376399994,-80.4478607178,49.6786563873,-19.2045700073,-999.0
114.66980896,15453.5749023,-62.1302707672,-80.4478607178,49.9960777283,-13.8309875011,-999.0
102.601476288,16138.5939453,-63.5159614563,-80.4478607178,49.0841411591,-10.3797960281,-999.0
91.4808410645,16842.5041016,-63.8219184875,-80.4478607178,44.6394199371,-9.41767659187,-999.0
81.2520118713,17570.7794922,-63.1304679871,-80.4478607178,33.8409313202,-14.6740657806,-999.0
71.8592430115,18328.5435547,-62.0542388916,-80.4478607178,24.4861766815,-15.8595407486,-999.0
63.2515537262,19121.8119141,-59.8438171387,-80.4478607178,19.9667913437,-12.8829186022,-999.0
54.5693431854,20056.8808594,-57.8701023102,-80.4478607178,14.0304975986,-6.27144741714,-999.0


MEM = MEAN
TIME = 160212/0300
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.029

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
976.519293213,384.028543091,9.87867927551,0.426736437902,-3.83111293316,0.316755408049,-999.0
968.814532471,449.938772583,10.845446682,-0.520638561249,-5.33942828178,0.562006218825,-999.0
958.548382568,538.683074951,10.6009243965,-0.798340690136,-2.74730813354,1.0124814719,-999.0
945.508331299,652.614361572,9.97536430359,-0.899268949032,0.604401436448,1.39010661244,-999.0
929.403649902,795.322558594,9.91594295502,-2.25475637913,3.57306425571,2.58318769932,-999.0
909.89286499,972.0112854,11.2424518585,-6.13033919334,7.25577645302,3.72467978001,-999.0
886.579632568,1188.78149414,11.6903857231,-8.2405831337,8.95109109879,0.288617940247,-999.0
859.101318359,1451.64567871,11.1649151802,-9.87125225067,9.97420558929,-5.04614839554,-999.0
827.507562256,1763.45393066,9.93205566406,-12.1300648689,12.4641337395,-8.79267568588,-999.0
792.228625488,2123.82006836,7.84452204704,-14.7293310165,16.0798225403,-11.7015406609,-999.0
753.737316895,2532.47712402,5.45799722672,-17.4382565498,19.004514122,-14.3009175301,-999.0
712.533123779,2989.45478516,2.68260467052,-19.2086862564,20.7335458755,-17.5042837143,-999.0
669.137359619,3494.57529297,-0.680261209607,-20.1876371384,22.4910650253,-21.0045463562,-999.0
624.089996338,4047.52451172,-4.53112215996,-18.3679016113,25.0623939514,-23.5123342514,-999.0
579.09753418,4632.19599609,-8.5191239357,-17.9154165268,27.7427410126,-25.0451766968,-999.0
536.193603516,5224.29462891,-12.6126179695,-21.9811576843,29.566950798,-27.6546758652,-999.0
495.916452026,5815.38618164,-16.7586589813,-30.308767128,29.9349248886,-33.9919960022,-999.0
458.133959961,6405.21420898,-21.1256875992,-37.3787719727,27.7259620667,-42.0846446991,-999.0
422.703286743,6993.69848633,-25.71847229,-39.5355133057,26.1262756348,-49.4731063843,-999.0
389.498080444,7580.32607422,-30.722795105,-40.2237545013,27.8526590347,-53.5518268585,-999.0
358.412036133,8164.31308594,-35.9199554443,-42.7579467773,30.4877969742,-55.2245037079,-999.0
